iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TGT","TARGET CORP","Consumer Staples","Equity","676,923,824.84","0.22","676,923,824.84","4,088,198.00","165.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","668,540,304.60","0.22","668,540,304.60","13,546,916.00","49.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","642,184,534.84","0.21","642,184,534.84","2,521,436.00","254.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","637,370,749.50","0.21","637,370,749.50","5,639,950.00","113.01","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","637,066,177.60","0.21","637,066,177.60","12,720,970.00","50.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","625,871,300.94","0.20","625,871,300.94","12,613,287.00","49.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","623,316,015.40","0.20","623,316,015.40","3,194,854.00","195.10","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","622,733,952.06","0.20","622,733,952.06","5,216,838.00","119.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","601,049,289.52","0.20","601,049,289.52","1,277,768.00","470.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","592,247,067.71","0.19","592,247,067.71","592,247,068.00","1.00","United States","-","USD","1.00","USD","-"
